Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Rubens Barrichello,2,Michael Schumacher,1
BAR,2,6,Takuma Sato,6,Jenson Button,5
Williams,3,4,Antônio Pizzonia,7,Juan Pablo Montoya,4
Jaguar,4,3,Christian Klien,13,Mark Webber,10
Minardi,5,2,Zsolt Baumgartner,15,Gianmaria Bruni,14
Renault,6,1,,,Fernando Alonso,3
Sauber,7,0,,,Giancarlo Fisichella,8
McLaren,8,0,,,David Coulthard,9
Toyota,9,0,,,Olivier Panis,11
Jordan,10,0,,,Nick Heidfeld,12
