Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Felipe Massa,3,Fernando Alonso,1
Sauber,2,6,Nick Heidfeld,9,Kamui Kobayashi,8
Williams,3,4,Nico Hülkenberg,10,Rubens Barrichello,7
McLaren,4,3,Jenson Button,12,Lewis Hamilton,2
HRT,5,2,Sakon Yamamoto,15,Bruno Senna,14
Mercedes,6,1,,,Michael Schumacher,4
Renault,7,0,,,Robert Kubica,5
Force India,8,0,,,Vitantonio Liuzzi,6
Toro Rosso,9,0,,,Jaime Alguersuari,11
Lotus Racing,10,0,,,Heikki Kovalainen,13
