Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sebastian Vettel,3,Mark Webber,1
Ferrari,2,6,Felipe Massa,6,Fernando Alonso,2
Renault,3,4,Vitaly Petrov,11,Robert Kubica,8
Mercedes,4,3,Nico Rosberg,13,Michael Schumacher,4
McLaren,5,2,Lewis Hamilton,14,Jenson Button,5
Force India,6,1,Vitantonio Liuzzi,15,Adrian Sutil,7
Williams,7,0,Nico Hülkenberg,16,Rubens Barrichello,9
Virgin,8,0,Lucas di Grassi,19,Timo Glock,18
Toro Rosso,9,0,,,Jaime Alguersuari,10
Sauber,10,0,,,Kamui Kobayashi,12
Lotus Racing,11,0,,,Jarno Trulli,17
