Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sebastian Vettel,3,Mark Webber,1
Ferrari,2,6,Felipe Massa,4,Fernando Alonso,2
Sauber,3,4,Kamui Kobayashi,9,Pedro de la Rosa,7
Williams,4,3,Rubens Barrichello,10,Nico Hülkenberg,6
Lotus Racing,5,2,Jarno Trulli,15,Heikki Kovalainen,14
Virgin,6,1,Lucas di Grassi,18,Timo Glock,16
HRT,7,0,Sakon Yamamoto,19,Bruno Senna,17
Renault,8,0,,,Vitaly Petrov,5
McLaren,9,0,,,Jenson Button,8
Mercedes,10,0,,,Michael Schumacher,11
Toro Rosso,11,0,,,Sébastien Buemi,12
Force India,12,0,,,Vitantonio Liuzzi,13
