Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,2,Sebastian Vettel,1
McLaren,2,6,Jenson Button,5,Lewis Hamilton,4
Mercedes,3,4,Michael Schumacher,7,Nico Rosberg,6
Toro Rosso,4,3,Sébastien Buemi,13,Jaime Alguersuari,11
Williams,5,2,Rubens Barrichello,14,Nico Hülkenberg,8
Ferrari,6,1,Felipe Massa,15,Fernando Alonso,3
Renault,7,0,Vitaly Petrov,16,Robert Kubica,9
Sauber,8,0,Nick Heidfeld,17,Kamui Kobayashi,10
Lotus Racing,9,0,Jarno Trulli,19,Heikki Kovalainen,18
HRT,10,0,Christian Klien,22,Bruno Senna,21
Force India,11,0,,,Adrian Sutil,12
Virgin,12,0,,,Timo Glock,20
