Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Michael Schumacher,7,Nico Rosberg,6
Renault,2,6,Vitaly Petrov,9,Robert Kubica,3
Force India,3,4,Vitantonio Liuzzi,10,Adrian Sutil,5
Sauber,4,3,Pedro de la Rosa,11,Kamui Kobayashi,8
Toro Rosso,5,2,Jaime Alguersuari,13,Sébastien Buemi,12
Red Bull,6,1,Sebastian Vettel,15,Mark Webber,2
Virgin,7,0,Timo Glock,18,Lucas di Grassi,17
Lotus Racing,8,0,Jarno Trulli,19,Heikki Kovalainen,16
McLaren,9,0,,,Lewis Hamilton,1
Ferrari,10,0,,,Felipe Massa,4
Williams,11,0,,,Nico Hülkenberg,14
HRT,12,0,,,Sakon Yamamoto,20
