Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Jenson Button,2,Lewis Hamilton,1
Mercedes,2,6,Nico Rosberg,5,Michael Schumacher,4
Ferrari,3,4,Fernando Alonso,8,Felipe Massa,7
Sauber,4,3,Pedro de la Rosa,11,Kamui Kobayashi,10
Force India,5,2,Vitantonio Liuzzi,13,Adrian Sutil,9
Renault,6,1,Vitaly Petrov,15,Robert Kubica,6
Toro Rosso,7,0,Sébastien Buemi,16,Jaime Alguersuari,12
Williams,8,0,Nico Hülkenberg,17,Rubens Barrichello,14
Virgin,9,0,Lucas di Grassi,19,Timo Glock,18
Red Bull,10,0,,,Mark Webber,3
HRT,11,0,,,Karun Chandhok,20
