Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,2,Sebastian Vettel,1
McLaren,2,6,Lewis Hamilton,5,Jenson Button,4
Sauber,3,4,Nick Heidfeld,8,Kamui Kobayashi,7
Toro Rosso,4,3,Jaime Alguersuari,11,Sébastien Buemi,10
Lotus Racing,5,2,Jarno Trulli,13,Heikki Kovalainen,12
HRT,6,1,Sakon Yamamoto,16,Bruno Senna,15
Mercedes,7,0,Nico Rosberg,17,Michael Schumacher,6
Ferrari,8,0,,,Fernando Alonso,3
Williams,9,0,,,Rubens Barrichello,9
Virgin,10,0,,,Timo Glock,14
