Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Fernando Alonso,4,Felipe Massa,3
McLaren,2,6,Lewis Hamilton,6,Jenson Button,1
Mercedes,3,4,Michael Schumacher,10,Nico Rosberg,5
Renault,4,3,,,Robert Kubica,2
Force India,5,2,,,Vitantonio Liuzzi,7
Williams,6,1,,,Rubens Barrichello,8
Red Bull,7,0,,,Mark Webber,9
Toro Rosso,8,0,,,Jaime Alguersuari,11
Sauber,9,0,,,Pedro de la Rosa,12
Lotus Racing,10,0,,,Heikki Kovalainen,13
HRT,11,0,,,Karun Chandhok,14
