Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,3,Sebastian Vettel,2
Ferrari,2,6,Felipe Massa,8,Fernando Alonso,1
Williams,3,4,Nico Hülkenberg,10,Rubens Barrichello,6
Renault,4,3,Vitaly Petrov,11,Robert Kubica,7
Mercedes,5,2,Michael Schumacher,13,Nico Rosberg,5
Toro Rosso,6,1,Sébastien Buemi,14,Jaime Alguersuari,12
McLaren,7,0,,,Jenson Button,4
Force India,8,0,,,Adrian Sutil,9
Virgin,9,0,,,Lucas di Grassi,15
Lotus Racing,10,0,,,Heikki Kovalainen,16
