Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Felipe Massa,2,Fernando Alonso,1
McLaren,2,6,Jenson Button,5,Lewis Hamilton,4
Red Bull,3,4,Mark Webber,6,Sebastian Vettel,3
Mercedes,4,3,Michael Schumacher,9,Nico Rosberg,8
Renault,5,2,Vitaly Petrov,10,Robert Kubica,7
Williams,6,1,Nico Hülkenberg,13,Rubens Barrichello,12
Sauber,7,0,Pedro de la Rosa,14,Kamui Kobayashi,11
Force India,8,0,Adrian Sutil,17,Vitantonio Liuzzi,16
Toro Rosso,9,0,,,Jaime Alguersuari,15
Virgin,10,0,,,Timo Glock,18
HRT,11,0,,,Bruno Senna,19
