Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Felipe Massa,3,Fernando Alonso,1
Red Bull,2,6,Mark Webber,6,Sebastian Vettel,4
Mercedes,3,4,Michael Schumacher,9,Nico Rosberg,5
Williams,4,3,Rubens Barrichello,10,Nico Hülkenberg,7
Renault,5,2,Vitaly Petrov,13,Robert Kubica,8
Toro Rosso,6,1,Jaime Alguersuari,15,Sébastien Buemi,11
Force India,7,0,Adrian Sutil,16,Vitantonio Liuzzi,12
Virgin,8,0,Lucas di Grassi,20,Timo Glock,17
McLaren,9,0,,,Jenson Button,2
Sauber,10,0,,,Pedro de la Rosa,14
Lotus Racing,11,0,,,Heikki Kovalainen,18
HRT,12,0,,,Sakon Yamamoto,19
