Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Lewis Hamilton,2,Jenson Button,1
Renault,2,6,Vitaly Petrov,7,Robert Kubica,5
Red Bull,3,4,Mark Webber,8,Sebastian Vettel,6
Ferrari,4,3,Felipe Massa,9,Fernando Alonso,4
Mercedes,5,2,Michael Schumacher,10,Nico Rosberg,3
Williams,6,1,Nico Hülkenberg,15,Rubens Barrichello,12
HRT,7,0,Karun Chandhok,17,Bruno Senna,16
Force India,8,0,,,Adrian Sutil,11
Toro Rosso,9,0,,,Jaime Alguersuari,13
Lotus Racing,10,0,,,Heikki Kovalainen,14
