Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,2,Sebastian Vettel,1
McLaren,2,6,Jenson Button,8,Lewis Hamilton,6
Toro Rosso,3,4,Sébastien Buemi,11,Jaime Alguersuari,9
Williams,4,3,Rubens Barrichello,12,Nico Hülkenberg,10
Ferrari,5,2,Fernando Alonso,13,Felipe Massa,7
HRT,6,1,Bruno Senna,16,Karun Chandhok,15
Mercedes,7,0,,,Nico Rosberg,3
Renault,8,0,,,Robert Kubica,4
Force India,9,0,,,Adrian Sutil,5
Virgin,10,0,,,Lucas di Grassi,14
Lotus Racing,11,0,,,Jarno Trulli,17
