Pilote,Rang,Points,ARGR,AUSR,BELR,BRAR,CANR,EURR,FRAR,GERR,GRER,HUNR,ITAR,JAPR,MONR,PACR,PORR,SANR,SPAR
Damon Hill,1,315,18,25,4,25,18,18,25,25,25,25,12,12,25,18,18,12,10
Michael Schumacher,2,298,15,15,0,18,25,15,18,18,18,15,18,25,18,15,15,25,25
David Coulthard,3,296,25,18,10,15,15,25,15,15,15,18,25,8,15,25,25,15,12
Gerhard Berger,4,209,4,12,25,10,12,12,6,12,12,12,15,10,12,10,12,18,15
Jean Alesi,5,175,8,10,18,8,10,8,12,1,8,8,10,18,10,12,6,10,18
Mika Häkkinen,6,102,10,0,15,6,6,2,4,6,4,10,6,15,8,,0,8,2
Johnny Herbert,7,95,0,4,12,12,8,6,1,2,10,4,4,2,6,6,8,4,6
Eddie Irvine,8,83,12,2,6,4,4,10,0,8,6,0,0,6,2,8,1,6,8
Rubens Barrichello,9,49,1,6,0,0,2,0,10,10,2,0,8,1,0,0,4,1,4
Heinz-Harald Frentzen,10,35,2,8,1,0,0,4,0,0,0,1,1,4,0,4,10,0,0
Mark Blundell,11,22,0,1,8,2,1,1,0,4,1,0,2,0,1,1,0,,
Olivier Panis,12,15,0,0,2,1,0,0,8,0,0,2,0,0,0,2,0,0,0
Martin Brundle,13,14,,0,0,,0,0,2,,0,6,0,,4,,2,,0
Mika Salo,14,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigel Mansell,15,3,,,,,,,,,,,,,,,,2,1
Ukyo Katayama,16,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Gianni Morbidelli,17,0,0,0,,0,0,,0,,,,,0,0,0,,0,0
Aguri Suzuki,18,0,0,,,0,,,,0,,,,0,,0,,0,
Pierluigi Martini,19,0,0,,,0,0,,0,0,0,,,,0,,,0,0
Luca Badoer,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl Wendlinger,21,0,0,0,,0,,,,,,,,0,,,,0,0
Bertrand Gachot,22,0,0,0,,0,0,,0,,0,,,0,0,0,,0,0
Taki Inoue,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrea Montermini,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Moreno,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jos Verstappen,26,0,0,,,0,,,,,,,,,0,,,0,0
Pedro Diniz,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domenico Schiattarella,28,0,0,,,0,,,,,,,,,0,,,0,0
Jean-Christophe Boullion,29,0,,,0,,0,0,0,0,0,0,0,,0,0,0,,
Max Papis,30,0,,,0,,,0,,0,0,0,0,,,,0,,
Giovanni Lavaggi,31,0,,,0,,,,,0,,0,0,,,,,,
Pedro Lamy,32,0,,0,0,,,0,,,,0,0,0,,0,0,,
Jean-Denis Délétraz,33,0,,,,,,0,,,,,,,,,0,,
Gabriele Tarquini,34,0,,,,,,0,,,,,,,,,,,
Jan Magnussen,35,0,,,,,,,,,,,,,,0,,,
