Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Kurtis Kraft,1,9,Mike Nazaruk,2,Lee Wallard,1
Deidt,2,6,Tony Bettenhausen,9,Duane Carter,8
Schroeder,3,4,Duke Dinsmore,24,Bobby Ball,5
Sherman,4,3,,,Andy Linden,4
Moore,5,2,,,Henry Banks,6
Kuzma,6,1,,,Walt Faulkner,15
Pawl,7,0,,,Jimmy Davies,16
Hall,8,0,,,Bill Mackey,19
Marchese,9,0,,,Chuck Stevenson,20
Bromme,10,0,,,Rodger Ward,27
Trevis,11,0,,,Bill Vukovich,29
Lesovsky,12,0,,,George Connor,30
Maserati,13,0,,,Johnny McDowell,32
Watson,14,0,,,Joe James,33
