Pilote,Rang,Points,BELR,FRAR,GERR,GRER,INDR,ITAR,SPAR,SWIR
Juan Manuel Fangio,1,151,25,25,15,18,,25,18,25
Nino Farina,2,111,18,18,12,15,,18,12,18
Alberto Ascari,3,110,12,15,25,12,,15,25,6
Luigi Villoresi,4,82,15,12,10,10,,10,10,15
José Froilán González,5,78,,8,18,25,,12,15,0
Piero Taruffi,6,40,10,,8,,,8,6,8
Consalvo Sanesi,7,38,8,10,,8,,,,12
Duke Nalon,8,25,,,,,25,,,
Emmanuel de Graffenried,9,20,,0,0,,,2,8,10
Lee Wallard,10,18,,,,,18,,,
Felice Bonetto,11,17,,,1,6,,6,4,
Jack McGrath,12,15,,,,,15,,,
Louis Rosier,13,12,6,0,0,2,,0,0,4
Duane Carter,14,12,,,,,12,,,
Mauri Rose,15,10,,,,,10,,,
Troy Ruttman,16,8,,,,,8,,,
Peter Whitehead,17,6,,0,,4,,0,,2
Louis Chiron,18,6,2,4,0,0,,0,0,0
Mike Nazaruk,19,6,,,,,6,,,
Luigi Fagioli,20,6,,6,,,,,,
Reg Parnell,21,6,,2,,0,,4,,
Paul Pietsch,22,6,,,6,,,,,
Rudi Fischer,23,5,,,4,,,,,1
Yves Giraud-Cabantous,24,4,4,0,0,,,0,0,0
Johnnie Parsons,25,4,,,,,4,,,
Robert Manzon,26,4,,0,2,,,0,2,
Philippe Étancelin,27,2,1,1,0,,,,0,0
Tony Bettenhausen,28,2,,,,,2,,,
Cecil Green,29,1,,,,,1,,,
André Simon,30,1,,0,0,,,0,1,
Bob Gerard,31,1,,,,1,,,,
Ken Richardson,32,1,,,,,,1,,
Henri Louveau,33,0,,,,,,,,0
Stirling Moss,34,0,,,,,,,,0
Peter Hirt,35,0,,,,,,,,0
Harry Schell,36,0,,0,,,,,,0
Johnny Claes,37,0,0,0,0,0,,0,0,0
George Abecassis,38,0,,,,,,,,0
Guy Mairesse,39,0,,0,,,,,,0
Fred Agabashian,40,0,,,,,0,,,
Sam Hanks,41,0,,,,,0,,,
Walt Brown,42,0,,,,,0,,,
Walt Faulkner,43,0,,,,,0,,,
Carl Scarborough,44,0,,,,,0,,,
Bill Schindler,45,0,,,,,0,,,
Henry Banks,46,0,,,,,0,,,
Cliff Griffith,47,0,,,,,0,,,
Chuck Stevenson,48,0,,,,,0,,,
Bill Vukovich,49,0,,,,,0,,,
George Connor,50,0,,,,,0,,,
Gene Force,51,0,,,,,0,,,
Mack Hellings,52,0,,,,,0,,,
Carl Forberg,53,0,,,,,0,,,
Rodger Ward,54,0,,,,,0,,,
Johnny McDowell,55,0,,,,,0,,,
Jimmy Davies,56,0,,,,,0,,,
Chet Miller,57,0,,,,,0,,,
Bobby Ball,58,0,,,,,0,,,
Joe James,59,0,,,,,0,,,
Andy Linden,60,0,,,,,0,,,
Duke Dinsmore,61,0,,,,,0,,,
Bill Mackey,62,0,,,,,0,,,
André Pilette,63,0,0,,,,,,,
Pierre Levegh,64,0,0,,0,,,0,,
Eugène Chaboud,65,0,,0,,,,,,
Onofre Marimón,66,0,,0,,,,,,
Aldo Gordini,67,0,,0,,,,,,
Maurice Trintignant,68,0,,0,0,,,0,0,
Duncan Hamilton,69,0,,,0,0,,,,
Brian Shawe-Taylor,70,0,,,,0,,,,
David Murray,71,0,,,,0,,,,
Philip Fotheringham-Parker,72,0,,,,0,,,,
John James,73,0,,,,0,,,,
Joe Kelly,74,0,,,,0,,,,
Peter Walker,75,0,,,,0,,,,
Toni Branca,76,0,,,0,,,,,
Jacques Swaters,77,0,,,0,,,0,,
Chico Landi,78,0,,,,,,0,,
Franco Rol,79,0,,,,,,0,,
Georges Grignard,80,0,,,,,,,0,
Paco Godia,81,0,,,,,,,0,
Juan Jover,82,0,,,,,,,0,
Birabongse Bhanudej,83,0,,,,,,,0,
