Pilote,Rang,Points,AUSR,BELR,BRAR,CANR,EURR,FRAR,GERR,GRER,HUNR,ITAR,JAPR,MALR,MONR,SANR,SPAR,UNIR
Michael Schumacher,1,343,27,12,15,25,18,25,18,10,25,25,25,25,25,18,25,25
Mika Häkkinen,2,300,50,25,25,12,15,12,12,15,15,15,18,18,10,25,18,15
David Coulthard,3,280,36,10,18,18,25,18,25,12,18,10,15,15,15,15,12,18
Rubens Barrichello,4,206,27,1,12,15,12,15,0,25,10,18,12,12,8,12,15,12
Jarno Trulli,5,108,18,18,0,6,8,2,8,0,0,8,0,2,18,4,6,10
Heinz-Harald Frentzen,6,100,10,4,6,10,1,4,0,18,8,4,4,1,12,8,4,6
Ralf Schumacher,7,87,0,8,0,0,10,10,0,6,12,6,8,4,2,10,10,1
Jacques Villeneuve,8,72,10,6,1,8,2,6,2,1,0,12,2,8,0,2,8,4
Eddie Irvine,9,50,6,0,8,0,4,8,1,2,1,0,6,6,1,6,1,0
Giancarlo Fisichella,10,50,6,0,10,1,6,0,15,0,6,2,0,0,4,0,0,0
Jenson Button,11,48,0,15,2,0,0,1,0,8,4,0,10,0,0,0,0,8
Alexander Wurz,12,16,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0
Ricardo Zonta,13,16,8,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Pedro de la Rosa,14,15,0,0,0,2,0,0,10,0,0,1,0,0,0,0,2,0
Johnny Herbert,15,7,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0
Jean Alesi,16,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Mika Salo,17,5,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Jos Verstappen,18,5,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Pedro Diniz,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Nick Heidfeld,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Gené,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastón Mazzacane,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luciano Burti,23,0,0,,,,,,,,,,,,,,,
