Équipe,Rang,Points,UNI,BRA,ARG,SAN,BEL,MON,SPA,FRA,GRE,GER,AUS,NET,ITA,CAN,CAE
Williams,1,81,9,9,9,3,2,6,6,0,6,0,9,4,9,0,9
Brabham,2,47,6,0,2,9,,,,4,2,9,2,9,2,1,1
Renault,3,41,0,,6,1,,,0,9,0,6,3,6,6,,4
Lotus,4,39,,4,1,,9,,9,6,,0,1,3,4,0,2
McLaren,5,34,,1,0,4,0,,0,3,9,1,6,,1,3,6
Alfa Romeo,6,33,4,,3,,4,,4,2,,4,,,0,9,3
Ferrari,7,28,,,,6,6,9,2,0,,0,0,,3,2,0
Ligier,8,27,,6,,,1,4,1,,4,3,4,,,4,0
Tyrrell,9,21,3,0,0,,3,3,,1,3,2,,0,,6,0
Arrows,10,10,,3,4,2,,,,0,0,0,,1,,,0
Ensign,11,6,,2,,0,0,2,0,,,,,2,,,
Fittipaldi,12,4,1,0,,,,,3,,,,,,,,0
Theodore,13,3,2,0,,0,,1,0,0,0,0,,0,,0,
ATS,14,1,,,0,0,,,,,1,,,0,,,
Osella,15,0,,,,,0,,,,0,0,0,,0,,
March,16,0,,,,,,,0,,0,,0,,,0,
Toleman,17,0,,,,,,,,,,,,,0,,
