Pilote,Rang,Points,AUSR,CANR,FRAR,GERR,GRER,ITAR,MONR,NETR,SOUR,SPAR,UNIR
Jackie Stewart,1,219,18,25,25,25,18,6,25,15,25,12,25
Jacky Ickx,2,143,8,0,15,18,8,18,18,25,4,25,4
Clay Regazzoni,3,128,12,0,18,12,25,4,0,12,15,18,12
Jo Siffert,4,122,25,18,8,15,15,15,15,4,0,1,6
Chris Amon,5,96,,10,2,0,2,25,12,10,18,15,2
François Cevert,6,69,15,15,6,10,1,10,0,0,2,0,10
Emerson Fittipaldi,7,66,10,12,0,4,12,0,0,,10,0,18
Pedro Rodríguez,8,49,,,10,,,,10,18,1,10,
Denny Hulme,9,46,2,1,0,8,4,,8,0,6,2,15
Ronnie Peterson,10,36,0,8,0,6,10,8,4,0,0,0,0
Mario Andretti,11,24,,0,,0,,,0,0,12,4,8
Graham Hill,12,18,4,0,12,0,0,0,2,0,0,0,0
Jean-Pierre Beltoise,13,18,,0,4,,0,,6,0,,8,0
Reine Wisell,14,16,1,6,0,0,0,,0,8,0,0,1
Howden Ganley,15,16,0,2,0,0,0,12,0,2,0,0,0
Tim Schenken,16,16,6,0,0,2,6,2,0,0,,0,0
John Surtees,17,15,0,0,0,0,0,0,1,6,8,0,0
Peter Gethin,18,6,0,0,0,0,0,0,0,0,0,6,0
Mark Donohue,19,4,,4,,,,,,,,,0
Rolf Stommelen,20,2,0,0,1,0,0,0,0,1,0,0,
Henri Pescarolo,21,2,0,0,0,1,0,1,0,0,0,0,0
Dave Charlton,22,0,,,,,0,,,,0,,
Brian Redman,23,0,,,,,,,,,0,,
Jackie Pretorius,24,0,,,,,,,,,0,,
John Love,25,0,,,,,,,,,0,,
Andrea de Adamich,26,0,,,0,0,0,0,,,0,0,0
Jo Bonnier,27,0,0,,,0,,0,,,0,,0
Alex Soler-Roig,28,0,,,0,,,,0,0,0,0,
Nanni Galli,29,0,0,0,0,0,0,0,0,0,,,0
Skip Barber,30,0,,0,,,,,0,0,,,0
Gijs van Lennep,31,0,,,,,,,,0,,,0
David Walker,32,0,,,,,,,,0,,,
Max Jean,33,0,,,0,,,,,,,,
François Mazet,34,0,,,0,,,,,,,,
Mike Beuttler,35,0,0,0,,0,0,0,,,,,
Jackie Oliver,36,0,0,,,,0,0,,,,,
Derek Bell,37,0,,,,,0,,,,,,
Vic Elford,38,0,,,,0,,,,,,,
Helmut Marko,39,0,0,0,,0,,0,,,,,0
Niki Lauda,40,0,0,,,,,,,,,,
Mike Hailwood,41,0,,,,,,0,,,,,0
Silvio Moser,42,0,,,,,,0,,,,,
Jean-Pierre Jarier,43,0,,,,,,0,,,,,
George Eaton,44,0,,0,,,,,,,,,
Chris Craft,45,0,,0,,,,,,,,,0
Pete Lovely,46,0,,0,,,,,,,,,0
Sam Posey,47,0,,,,,,,,,,,0
Peter Revson,48,0,,,,,,,,,,,0
David Hobbs,49,0,,,,,,,,,,,0
John Cannon,50,0,,,,,,,,,,,0
