Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Hans Herrmann,3,Juan Manuel Fangio,1
Maserati,2,6,Sergio Mantovani,5,Roberto Mieres,4
Ferrari,3,4,Umberto Maglioli,7,José Froilán González,2
