Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Niki Lauda,4,Clay Regazzoni,2
Tyrrell,2,6,Patrick Depailler,6,Jody Scheckter,5
March,3,4,Vittorio Brambilla,7,Ronnie Peterson,1
Surtees,4,3,Brett Lunger,14,Alan Jones,12
Shadow,5,2,Jean-Pierre Jarier,19,Tom Pryce,8
Ligier,6,1,,,Jacques Laffite,3
Ensign,7,0,,,Jacky Ickx,10
Penske,8,0,,,John Watson,11
Lotus,9,0,,,Gunnar Nilsson,13
Fittipaldi,10,0,,,Emerson Fittipaldi,15
Hesketh,11,0,,,Harald Ertl,16
