Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Jochen Mass,3,James Hunt,2
Tyrrell,2,6,Patrick Depailler,9,Jody Scheckter,4
March,3,4,Hans-Joachim Stuck,12,Vittorio Brambilla,8
Wolf-Williams,4,3,Jacky Ickx,16,Michel Leclère,13
Ferrari,5,2,,,Niki Lauda,1
Penske,6,1,,,John Watson,5
Parnelli,7,0,,,Mario Andretti,6
Shadow,8,0,,,Tom Pryce,7
Lotus,9,0,,,Bob Evans,10
Surtees,10,0,,,Brett Lunger,11
Ensign,11,0,,,Chris Amon,14
Hesketh,12,0,,,Harald Ertl,15
Fittipaldi,13,0,,,Emerson Fittipaldi,17
