Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Tyrrell,1,9,Jody Scheckter,4,Patrick Depailler,2
McLaren,2,6,Jochen Mass,5,James Hunt,1
Ferrari,3,4,Niki Lauda,8,Clay Regazzoni,6
Lotus,4,3,Gunnar Nilsson,12,Mario Andretti,3
March,5,2,Vittorio Brambilla,14,Ronnie Peterson,9
Surtees,6,1,Alan Jones,16,Brett Lunger,15
Brabham,7,0,Larry Perkins,17,Carlos Pace,7
Shadow,8,0,Jean-Pierre Jarier,18,Tom Pryce,11
Penske,9,0,,,John Watson,10
Ensign,10,0,,,Jacky Ickx,13
Hesketh,11,0,,,Guy Edwards,20
