Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Tyrrell,1,9,Jody Scheckter,6,Patrick Depailler,2
March,2,6,Arturo Merzario,9,Hans-Joachim Stuck,7
Brabham,3,4,Carlos Reutemann,11,Carlos Pace,4
Shadow,4,3,Jean-Pierre Jarier,12,Tom Pryce,8
Wolf-Williams,5,2,Michel Leclère,13,Jacky Ickx,10
McLaren,6,1,Jochen Mass,15,James Hunt,1
Penske,7,0,,,John Watson,3
Lotus,8,0,,,Mario Andretti,5
Ligier,9,0,,,Jacques Laffite,14
Surtees,10,0,,,Brett Lunger,16
Hesketh,11,0,,,Guy Edwards,17
Ensign,12,0,,,Patrick Nève,18
