Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,3,Lewis Hamilton,1
Red Bull,2,6,Sergio Pérez,4,Max Verstappen,2
Ferrari,3,4,Carlos Sainz Jr.,6,Charles Leclerc,5
Alpine,4,3,Fernando Alonso,9,Esteban Ocon,8
Alfa Romeo,5,2,Antonio Giovinazzi,14,Kimi Räikkönen,12
AlphaTauri,6,1,Yuki Tsunoda,15,Pierre Gasly,7
Williams,7,0,Nicholas Latifi,16,George Russell,13
Haas,8,0,Mick Schumacher,18,Nikita Mazepin,17
McLaren,9,0,,,Lando Norris,10
Aston Martin,10,0,,,Sebastian Vettel,11
