Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,5,Lewis Hamilton,1
McLaren,2,6,Lando Norris,7,Daniel Ricciardo,4
Red Bull,3,4,Sergio Pérez,9,Max Verstappen,2
Aston Martin,4,3,Sebastian Vettel,12,Lance Stroll,11
Alpine,5,2,Esteban Ocon,14,Fernando Alonso,6
Ferrari,6,1,Charles Leclerc,15,Carlos Sainz Jr.,3
Alfa Romeo,7,0,Antonio Giovinazzi,16,Kimi Räikkönen,8
AlphaTauri,8,0,Yuki Tsunoda,17,Pierre Gasly,13
Williams,9,0,Nicholas Latifi,19,George Russell,10
Haas,10,0,,,Nikita Mazepin,18
