Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Lewis Hamilton,4,Valtteri Bottas,2
Red Bull,2,6,Sergio Pérez,6,Max Verstappen,1
McLaren,3,4,Daniel Ricciardo,7,Lando Norris,3
Ferrari,4,3,Charles Leclerc,8,Carlos Sainz Jr.,5
AlphaTauri,5,2,Yuki Tsunoda,12,Pierre Gasly,9
Alfa Romeo,6,1,Kimi Räikkönen,15,Antonio Giovinazzi,14
Williams,7,0,Nicholas Latifi,16,George Russell,11
Aston Martin,8,0,Sebastian Vettel,17,Lance Stroll,13
Haas,9,0,Nikita Mazepin,19,Mick Schumacher,18
Alpine,10,0,,,Fernando Alonso,10
