Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sergio Pérez,3,Max Verstappen,1
Ferrari,2,6,Carlos Sainz Jr.,6,Charles Leclerc,5
Alfa Romeo,3,4,Antonio Giovinazzi,11,Kimi Räikkönen,8
McLaren,4,3,Daniel Ricciardo,12,Lando Norris,10
Alpine,5,2,Esteban Ocon,13,Fernando Alonso,9
Aston Martin,6,1,Lance Stroll,14,Sebastian Vettel,7
Mercedes,7,0,Valtteri Bottas,15,Lewis Hamilton,2
Williams,8,0,Nicholas Latifi,17,George Russell,16
AlphaTauri,9,0,,,Pierre Gasly,4
Haas,10,0,,,Nikita Mazepin,18
