Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,3,Lewis Hamilton,1
Red Bull,2,6,Sergio Pérez,4,Max Verstappen,2
Alpine,3,4,Fernando Alonso,8,Esteban Ocon,7
McLaren,4,3,Daniel Ricciardo,9,Lando Norris,5
Ferrari,5,2,Carlos Sainz Jr.,11,Charles Leclerc,6
Aston Martin,6,1,Lance Stroll,14,Sebastian Vettel,13
AlphaTauri,7,0,Yuki Tsunoda,15,Pierre Gasly,10
Williams,8,0,Nicholas Latifi,18,George Russell,16
Haas,9,0,Nikita Mazepin,19,Mick Schumacher,17
Alfa Romeo,10,0,,,Antonio Giovinazzi,12
