Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,3,Lewis Hamilton,2
Red Bull,2,6,Sergio Pérez,4,Max Verstappen,1
Ferrari,3,4,Charles Leclerc,7,Carlos Sainz Jr.,6
Aston Martin,4,3,Sebastian Vettel,12,Lance Stroll,8
McLaren,5,2,Daniel Ricciardo,13,Lando Norris,5
Alpine,6,1,Esteban Ocon,14,Fernando Alonso,9
Alfa Romeo,7,0,Antonio Giovinazzi,15,Kimi Räikkönen,11
Haas,8,0,Nikita Mazepin,18,Mick Schumacher,16
AlphaTauri,9,0,,,Yuki Tsunoda,10
Williams,10,0,,,Nicholas Latifi,17
