Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,3,Lewis Hamilton,2
Ferrari,2,6,Carlos Sainz Jr.,7,Charles Leclerc,5
Red Bull,3,4,Sergio Pérez,8,Max Verstappen,1
Alpine,4,3,Esteban Ocon,9,Fernando Alonso,6
McLaren,5,2,Daniel Ricciardo,11,Lando Norris,10
Aston Martin,6,1,Sebastian Vettel,13,Lance Stroll,12
Alfa Romeo,7,0,Robert Kubica,15,Antonio Giovinazzi,14
Williams,8,0,George Russell,17,Nicholas Latifi,16
AlphaTauri,9,0,,,Pierre Gasly,4
Haas,10,0,,,Mick Schumacher,18
