Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,3,Lewis Hamilton,1
McLaren,2,6,Daniel Ricciardo,5,Lando Norris,4
Ferrari,3,4,Carlos Sainz Jr.,6,Charles Leclerc,2
Alpine,4,3,Esteban Ocon,9,Fernando Alonso,7
AlphaTauri,5,2,Pierre Gasly,11,Yuki Tsunoda,10
Williams,6,1,Nicholas Latifi,14,George Russell,12
Alfa Romeo,7,0,Kimi Räikkönen,15,Antonio Giovinazzi,13
Haas,8,0,Mick Schumacher,18,Nikita Mazepin,17
Aston Martin,9,0,,,Lance Stroll,8
Red Bull,10,0,,,Sergio Pérez,16
