Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
AlphaTauri,1,9,Yuki Tsunoda,7,Pierre Gasly,3
Ferrari,2,6,Carlos Sainz Jr.,8,Charles Leclerc,4
McLaren,3,4,Daniel Ricciardo,9,Lando Norris,5
Alfa Romeo,4,3,Antonio Giovinazzi,11,Kimi Räikkönen,10
Haas,5,2,Nikita Mazepin,14,Mick Schumacher,13
Mercedes,6,1,Lewis Hamilton,15,Valtteri Bottas,12
Williams,7,0,George Russell,17,Nicholas Latifi,16
Red Bull,8,0,Max Verstappen,18,Sergio Pérez,1
Aston Martin,9,0,,,Sebastian Vettel,2
Alpine,10,0,,,Fernando Alonso,6
