Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sergio Pérez,4,Max Verstappen,1
Aston Martin,2,6,Lance Stroll,8,Sebastian Vettel,5
Alfa Romeo,3,4,Kimi Räikkönen,11,Antonio Giovinazzi,10
McLaren,4,3,Daniel Ricciardo,12,Lando Norris,3
Alpine,5,2,Fernando Alonso,13,Esteban Ocon,9
Williams,6,1,Nicholas Latifi,15,George Russell,14
AlphaTauri,7,0,Yuki Tsunoda,16,Pierre Gasly,6
Haas,8,0,Mick Schumacher,18,Nikita Mazepin,17
Ferrari,9,0,,,Carlos Sainz Jr.,2
Mercedes,10,0,,,Lewis Hamilton,7
