Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sergio Pérez,3,Max Verstappen,1
Mercedes,2,6,Valtteri Bottas,4,Lewis Hamilton,2
McLaren,3,4,Daniel Ricciardo,6,Lando Norris,5
Aston Martin,4,3,Lance Stroll,10,Sebastian Vettel,9
AlphaTauri,5,2,Yuki Tsunoda,13,Pierre Gasly,7
Alpine,6,1,Esteban Ocon,14,Fernando Alonso,8
Ferrari,7,0,Charles Leclerc,16,Carlos Sainz Jr.,11
Alfa Romeo,8,0,Kimi Räikkönen,17,Antonio Giovinazzi,15
Williams,9,0,Nicholas Latifi,18,George Russell,12
Haas,10,0,Nikita Mazepin,20,Mick Schumacher,19
