Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,3,Lewis Hamilton,1
Red Bull,2,6,Sergio Pérez,5,Max Verstappen,2
Ferrari,3,4,Carlos Sainz Jr.,7,Charles Leclerc,4
McLaren,4,3,Lando Norris,8,Daniel Ricciardo,6
Aston Martin,5,2,Sebastian Vettel,13,Lance Stroll,11
Alfa Romeo,6,1,Antonio Giovinazzi,15,Kimi Räikkönen,12
Williams,7,0,Nicholas Latifi,16,George Russell,14
Alpine,8,0,Fernando Alonso,17,Esteban Ocon,9
Haas,9,0,Nikita Mazepin,19,Mick Schumacher,18
AlphaTauri,10,0,,,Pierre Gasly,10
