Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,3,Lewis Hamilton,1
Red Bull,2,6,Sergio Pérez,5,Max Verstappen,2
McLaren,3,4,Daniel Ricciardo,7,Lando Norris,4
Ferrari,4,3,Carlos Sainz Jr.,8,Charles Leclerc,6
Alfa Romeo,5,2,Antonio Giovinazzi,12,Kimi Räikkönen,11
Aston Martin,6,1,Sebastian Vettel,15,Lance Stroll,10
AlphaTauri,7,0,Pierre Gasly,17,Yuki Tsunoda,9
Williams,8,0,Nicholas Latifi,18,George Russell,14
Alpine,9,0,,,Esteban Ocon,13
Haas,10,0,,,Mick Schumacher,16
