Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Nicholas Latifi,9,George Russell,2
Ferrari,2,6,Carlos Sainz Jr.,10,Charles Leclerc,8
Alpine,3,4,Fernando Alonso,11,Esteban Ocon,7
Mercedes,4,3,Valtteri Bottas,12,Lewis Hamilton,3
McLaren,5,2,Lando Norris,14,Daniel Ricciardo,4
AlphaTauri,6,1,Yuki Tsunoda,15,Pierre Gasly,6
Haas,7,0,Nikita Mazepin,17,Mick Schumacher,16
Alfa Romeo,8,0,Kimi Räikkönen,18,Antonio Giovinazzi,13
Red Bull,9,0,Sergio Pérez,19,Max Verstappen,1
Aston Martin,10,0,Lance Stroll,20,Sebastian Vettel,5
