Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Brawn,1,9,Rubens Barrichello,2,Jenson Button,1
Ferrari,2,6,Felipe Massa,4,Kimi Räikkönen,3
Toyota,3,4,Jarno Trulli,13,Timo Glock,10
Force India,4,3,Adrian Sutil,14,Giancarlo Fisichella,9
Williams,5,2,Kazuki Nakajima,15,Nico Rosberg,6
Red Bull,6,1,,,Mark Webber,5
Renault,7,0,,,Fernando Alonso,7
Toro Rosso,8,0,,,Sébastien Bourdais,8
BMW Sauber,9,0,,,Nick Heidfeld,11
McLaren,10,0,,,Lewis Hamilton,12
