Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Heikki Kovalainen,4,Lewis Hamilton,2
Brawn,2,6,Jenson Button,7,Rubens Barrichello,1
BMW Sauber,3,4,Nick Heidfeld,11,Robert Kubica,8
Force India,4,3,Giancarlo Fisichella,12,Adrian Sutil,10
Toyota,5,2,Timo Glock,14,Jarno Trulli,13
Renault,6,1,Romain Grosjean,15,Fernando Alonso,6
Ferrari,7,0,Luca Badoer,17,Kimi Räikkönen,3
Williams,8,0,Kazuki Nakajima,18,Nico Rosberg,5
Red Bull,9,0,,,Mark Webber,9
Toro Rosso,10,0,,,Jaime Alguersuari,16
