Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Brawn,1,9,Jenson Button,2,Rubens Barrichello,1
Ferrari,2,6,Giancarlo Fisichella,9,Kimi Räikkönen,3
McLaren,3,4,Lewis Hamilton,12,Heikki Kovalainen,6
Toyota,4,3,Jarno Trulli,14,Timo Glock,11
Renault,5,2,Romain Grosjean,15,Fernando Alonso,5
Williams,6,1,Nico Rosberg,16,Kazuki Nakajima,10
Force India,7,0,,,Adrian Sutil,4
BMW Sauber,8,0,,,Nick Heidfeld,7
Red Bull,9,0,,,Sebastian Vettel,8
Toro Rosso,10,0,,,Sébastien Buemi,13
