Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,2,Sebastian Vettel,1
Brawn,2,6,Jenson Button,6,Rubens Barrichello,3
Ferrari,3,4,Kimi Räikkönen,8,Felipe Massa,4
Toyota,4,3,Timo Glock,9,Jarno Trulli,7
Williams,5,2,Kazuki Nakajima,11,Nico Rosberg,5
Renault,6,1,Fernando Alonso,14,Nelson Piquet Jr.,12
BMW Sauber,7,0,Nick Heidfeld,15,Robert Kubica,13
Force India,8,0,Adrian Sutil,17,Giancarlo Fisichella,10
McLaren,9,0,,,Lewis Hamilton,16
Toro Rosso,10,0,,,Sébastien Buemi,18
