Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,2,Sebastian Vettel,1
Brawn,2,6,Rubens Barrichello,4,Jenson Button,3
McLaren,3,4,Lewis Hamilton,6,Heikki Kovalainen,5
Toro Rosso,4,3,Sébastien Bourdais,11,Sébastien Buemi,8
BMW Sauber,5,2,Robert Kubica,13,Nick Heidfeld,12
Renault,6,1,Nelson Piquet Jr.,16,Fernando Alonso,9
Force India,7,0,Adrian Sutil,17,Giancarlo Fisichella,14
Toyota,8,0,,,Timo Glock,7
Ferrari,9,0,,,Kimi Räikkönen,10
Williams,10,0,,,Nico Rosberg,15
