Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Heikki Kovalainen,5,Lewis Hamilton,1
Toyota,2,6,Jarno Trulli,8,Timo Glock,6
Williams,3,4,Kazuki Nakajima,9,Nico Rosberg,4
Brawn,4,3,Rubens Barrichello,10,Jenson Button,7
BMW Sauber,5,2,Robert Kubica,13,Nick Heidfeld,11
Toro Rosso,6,1,Sébastien Buemi,16,Jaime Alguersuari,15
Ferrari,7,0,,,Kimi Räikkönen,2
Red Bull,8,0,,,Mark Webber,3
Renault,9,0,,,Nelson Piquet Jr.,12
Force India,10,0,,,Giancarlo Fisichella,14
