Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Brawn,1,9,Rubens Barrichello,5,Jenson Button,1
Toyota,2,6,Timo Glock,7,Jarno Trulli,3
Renault,3,4,Nelson Piquet Jr.,10,Fernando Alonso,8
Red Bull,4,3,Mark Webber,11,Sebastian Vettel,2
McLaren,5,2,Heikki Kovalainen,12,Lewis Hamilton,4
Ferrari,6,1,Felipe Massa,14,Kimi Räikkönen,6
Force India,7,0,Adrian Sutil,16,Giancarlo Fisichella,15
Toro Rosso,8,0,Sébastien Buemi,17,Sébastien Bourdais,13
BMW Sauber,9,0,Nick Heidfeld,19,Robert Kubica,18
Williams,10,0,,,Nico Rosberg,9
