Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Toyota,1,9,Jarno Trulli,4,Timo Glock,3
Brawn,2,6,Rubens Barrichello,5,Jenson Button,1
Williams,3,4,Kazuki Nakajima,12,Nico Rosberg,8
Renault,4,3,Nelson Piquet Jr.,13,Fernando Alonso,11
Ferrari,5,2,Kimi Räikkönen,14,Felipe Massa,9
Red Bull,6,1,Sebastian Vettel,15,Mark Webber,6
Toro Rosso,7,0,Sébastien Buemi,16,Sébastien Bourdais,10
Force India,8,0,Giancarlo Fisichella,18,Adrian Sutil,17
BMW Sauber,9,0,,,Nick Heidfeld,2
McLaren,10,0,,,Lewis Hamilton,7
