Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,2,Sebastian Vettel,1
Brawn,2,6,Rubens Barrichello,4,Jenson Button,3
Toyota,3,4,Jarno Trulli,7,Kamui Kobayashi,6
BMW Sauber,4,3,Robert Kubica,10,Nick Heidfeld,5
Williams,5,2,Kazuki Nakajima,13,Nico Rosberg,9
Ferrari,6,1,Giancarlo Fisichella,16,Kimi Räikkönen,12
Force India,7,0,Adrian Sutil,17,Vitantonio Liuzzi,15
Renault,8,0,Romain Grosjean,18,Fernando Alonso,14
Toro Rosso,9,0,,,Sébastien Buemi,8
McLaren,10,0,,,Heikki Kovalainen,11
