Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sebastian Vettel,2,Mark Webber,1
Brawn,2,6,Rubens Barrichello,6,Jenson Button,5
Williams,3,4,Kazuki Nakajima,12,Nico Rosberg,4
Renault,4,3,Nelson Piquet Jr.,13,Fernando Alonso,7
BMW Sauber,5,2,Robert Kubica,14,Nick Heidfeld,10
Force India,6,1,Adrian Sutil,15,Giancarlo Fisichella,11
Toyota,7,0,Jarno Trulli,17,Timo Glock,9
McLaren,8,0,Lewis Hamilton,18,Heikki Kovalainen,8
Ferrari,9,0,,,Felipe Massa,3
Toro Rosso,10,0,,,Sébastien Buemi,16
