Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,David Coulthard,3,Kimi Räikkönen,2
BAR,2,6,Takuma Sato,6,Jenson Button,4
Ferrari,3,4,Michael Schumacher,8,Rubens Barrichello,1
Toyota,4,3,Olivier Panis,10,Cristiano da Matta,7
Jaguar,5,2,Justin Wilson,13,Mark Webber,11
Minardi,6,1,Nicolas Kiesa,16,Jos Verstappen,15
Renault,7,0,,,Jarno Trulli,5
Sauber,8,0,,,Nick Heidfeld,9
Williams,9,0,,,Ralf Schumacher,12
Jordan,10,0,,,Ralph Firman,14
