Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Michael Schumacher,4,Rubens Barrichello,1
McLaren,2,6,David Coulthard,5,Kimi Räikkönen,3
Williams,3,4,Ralf Schumacher,9,Juan Pablo Montoya,2
BAR,4,3,Jacques Villeneuve,10,Jenson Button,8
Toyota,5,2,Olivier Panis,11,Cristiano da Matta,7
Minardi,6,1,Justin Wilson,16,Jos Verstappen,15
Sauber,7,0,Nick Heidfeld,17,Heinz-Harald Frentzen,12
Renault,8,0,,,Jarno Trulli,6
Jordan,9,0,,,Ralph Firman,13
Jaguar,10,0,,,Mark Webber,14
