Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Arrows,1,9,Jochen Mass,10,Riccardo Patrese,6
McLaren,2,6,John Watson,11,Alain Prost,5
Tyrrell,3,4,Derek Daly,14,Jean-Pierre Jarier,12
Fittipaldi,4,3,Emerson Fittipaldi,15,Keke Rosberg,9
Renault,5,2,,,René Arnoux,1
Lotus,6,1,,,Elio de Angelis,2
Williams,7,0,,,Alan Jones,3
Ligier,8,0,,,Didier Pironi,4
ATS,9,0,,,Marc Surer,7
Brabham,10,0,,,Ricardo Zunino,8
Alfa Romeo,11,0,,,Bruno Giacomelli,13
Ferrari,12,0,,,Gilles Villeneuve,16
