Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Arrows,1,9,Jochen Mass,7,Riccardo Patrese,2
Renault,2,6,Jean-Pierre Jabouille,10,René Arnoux,9
Brabham,3,4,,,Nelson Piquet,1
Fittipaldi,4,3,,,Emerson Fittipaldi,3
McLaren,5,2,,,John Watson,4
Ferrari,6,1,,,Jody Scheckter,5
Ligier,7,0,,,Didier Pironi,6
Tyrrell,8,0,,,Derek Daly,8
