Équipe,Rang,Points,ARG,AUS,BEL,BRA,CAN,FRA,GER,GRE,ITA,JAP,MON,NET,SOU,SPA,SWE,UNI
Ferrari,1,93,4,9,2,9,0,6,9,3,6,3,9,9,6,3,0,9
McLaren,2,62,,4,0,4,6,4,,9,3,4,3,0,9,4,6,6
Lotus,3,52,2,,3,3,0,9,,4,9,,2,,0,9,2,0
Brabham,4,34,6,6,0,,,3,3,2,,1,,0,3,1,9,0
Shadow,5,34,,0,1,2,9,,0,0,4,9,6,0,,,3,0
Wolf,6,32,9,,,,4,,4,,,0,4,3,2,2,,0
Tyrrell,7,30,,3,9,,3,0,0,,1,6,,,1,0,0,4
Surtees,8,25,0,1,6,,1,0,6,6,,0,0,0,4,0,,1
March,9,19,,0,4,,0,,1,0,0,0,,6,0,6,0,2
Fittipaldi,10,13,3,0,,6,,0,,,,,,2,0,0,0,0
Ensign,11,10,1,,,,2,2,2,,2,,0,1,0,,0,0
Ligier,12,10,,,,,,1,,1,0,2,1,4,,0,1,0
Hesketh,13,7,,0,0,,,0,,,0,,0,,,,4,3
Penske,14,3,,2,0,,0,,,0,,,0,0,,,0,1
BRM,15,0,,,,,,,,,,,,,0,,,
LEC,16,0,,,0,,,,,,,,,,,,0,
Kojima,17,0,,,,,,,,,,0,,,,,,
