Pilote,Rang,Points,ARGR,AUSR,BELR,BRAR,CANR,EURR,FRAR,GERR,GRER,HUNR,ITAR,JAPR,MONR,PORR,SANR,SPAR
Damon Hill,1,351,25,18,18,25,25,25,18,25,25,18,25,18,18,25,18,25
Michael Schumacher,2,274,18,12,15,12,15,15,25,15,15,25,15,15,25,12,25,15
Jacques Villeneuve,3,260,15,25,25,15,18,18,8,8,18,15,18,25,1,18,15,18
Jean Alesi,4,167,12,8,6,10,12,12,15,10,10,10,8,2,15,15,10,12
Gerhard Berger,5,138,10,6,10,4,6,4,12,18,6,8,4,12,12,10,6,10
Mika Häkkinen,6,111,4,10,8,6,8,2,10,12,12,6,12,10,4,6,0,1
Eddie Irvine,7,97,1,15,2,1,10,6,1,4,1,12,6,8,6,8,8,8
David Coulthard,8,79,2,0,12,0,1,8,6,6,2,2,10,4,10,4,12,0
Rubens Barrichello,9,74,8,4,1,18,4,10,0,2,8,0,1,0,8,2,2,6
Martin Brundle,10,27,0,0,4,8,2,0,4,1,4,0,2,1,0,1,0,0
Heinz-Harald Frentzen,11,15,0,2,0,2,0,1,0,0,0,1,0,6,2,0,1,0
Olivier Panis,12,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
Jos Verstappen,13,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Herbert,14,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2
Mika Salo,15,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Ukyo Katayama,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giancarlo Fisichella,17,0,,0,,,0,0,0,,0,,,,0,,0,0
Pedro Lamy,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricardo Rosset,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Diniz,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luca Badoer,21,0,0,0,,0,0,0,0,,0,,,,0,,0,0
Andrea Montermini,22,0,0,0,,0,0,0,0,,0,,,,0,,0,0
Tarso Marques,23,0,0,,,0,,,,,,,,,,,,
Giovanni Lavaggi,24,0,,,0,,,,,0,,0,0,0,,0,,
