Pilote,Rang,Points,ARGR,AUSR,BELR,BRAR,CANR,EURR,FRAR,GERR,GRER,HUNR,ITAR,JAPR,LUXR,MONR,SANR,SPAR
Jacques Villeneuve,1,345,25,50,25,25,18,25,12,2,25,18,12,25,18,15,25,25
Michael Schumacher,2,248,12,17,15,18,25,18,25,12,12,25,2,18,10,18,15,6
Heinz-Harald Frentzen,3,241,18,30,6,4,12,15,18,10,18,8,18,8,15,25,18,18
Mika Häkkinen,4,168,0,26,10,12,2,10,1,15,15,12,10,12,25,4,4,10
Giancarlo Fisichella,5,100,2,0,12,6,8,0,0,18,1,0,15,2,12,12,8,4
Jean Alesi,6,95,0,4,18,8,4,1,4,8,0,2,25,6,1,2,0,12
David Coulthard,7,93,1,13,1,0,10,8,2,4,8,4,8,0,8,10,1,15
Ralf Schumacher,8,82,8,0,8,1,6,0,15,6,10,0,4,0,4,8,10,2
Gerhard Berger,9,81,0,1,0,15,,4,,25,,6,6,10,6,0,0,8
Eddie Irvine,10,71,6,14,0,0,0,6,10,1,6,10,1,15,0,0,2,0
Olivier Panis,11,43,15,2,,10,1,2,,,,,,1,0,0,12,0
Rubens Barrichello,12,38,10,10,0,0,15,0,0,0,0,0,0,0,2,1,0,0
Damon Hill,13,37,0,6,2,2,0,12,0,0,0,15,0,0,0,0,0,0
Johnny Herbert,14,30,4,6,0,0,0,0,0,0,2,1,0,4,0,6,6,1
Jarno Trulli,15,23,0,15,0,0,0,,8,0,0,0,0,,,0,0,0
Alexander Wurz,16,10,,,,,0,,6,,4,,,,,,,
Jan Magnussen,17,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Diniz,18,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicola Larini,19,0,0,0,,0,,,,,,,,,,0,0,
Ukyo Katayama,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shinji Nakano,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mika Salo,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jos Verstappen,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincenzo Sospiri,24,0,,0,,,,,,,,,,,,,,
Ricardo Rosset,25,0,,0,,,,,,,,,,,,,,
Gianni Morbidelli,26,0,,0,0,,0,,,,,0,0,0,0,,,0
Norberto Fontana,27,0,,,,,,0,0,0,0,,,,,,,
Tarso Marques,28,0,,0,0,,,0,0,0,0,0,0,0,0,,,
