Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Lotus,1,9,Ronnie Peterson,5,Mario Andretti,1
McLaren,2,6,Patrick Tambay,6,James Hunt,4
Ferrari,3,4,Gilles Villeneuve,8,Carlos Reutemann,7
ATS,4,3,Jean-Pierre Jarier,12,Jochen Mass,11
Tyrrell,5,2,Didier Pironi,14,Patrick Depailler,3
Shadow,6,1,Hans-Joachim Stuck,17,Clay Regazzoni,15
Brabham,7,0,,,Niki Lauda,2
Fittipaldi,8,0,,,Emerson Fittipaldi,9
Wolf,9,0,,,Jody Scheckter,10
Ligier,10,0,,,Jacques Laffite,16
Surtees,11,0,,,Vittorio Brambilla,18
