Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Lotus,1,9,Ronnie Peterson,2,Mario Andretti,1
McLaren,2,6,Patrick Tambay,9,James Hunt,3
Arrows,3,4,Rolf Stommelen,15,Riccardo Patrese,8
ATS,4,3,Keke Rosberg,16,Jochen Mass,13
Ferrari,5,2,Carlos Reutemann,18,Gilles Villeneuve,12
Brabham,6,1,,,John Watson,4
Williams,7,0,,,Alan Jones,5
Wolf,8,0,,,Jody Scheckter,6
Ligier,9,0,,,Jacques Laffite,7
Tyrrell,10,0,,,Didier Pironi,10
Shadow,11,0,,,Hans-Joachim Stuck,11
Martini,12,0,,,René Arnoux,14
Surtees,13,0,,,Vittorio Brambilla,17
