Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,James Hunt,7,Patrick Tambay,6
Wolf,2,6,Bobby Rahal,12,Jody Scheckter,3
Ensign,3,4,Brett Lunger,13,Derek Daly,8
Ferrari,4,3,,,Carlos Reutemann,1
Williams,5,2,,,Alan Jones,2
Renault,6,1,,,Jean-Pierre Jabouille,4
Fittipaldi,7,0,,,Emerson Fittipaldi,5
Surtees,8,0,,,René Arnoux,9
Tyrrell,9,0,,,Didier Pironi,10
Ligier,10,0,,,Jacques Laffite,11
Shadow,11,0,,,Clay Regazzoni,14
Lotus,12,0,,,Jean-Pierre Jarier,15
Arrows,13,0,,,Rolf Stommelen,16
