Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Kimi Räikkönen,3,Felipe Massa,2
BMW Sauber,2,6,Robert Kubica,6,Nick Heidfeld,5
Renault,3,4,Nelson Piquet Jr.,8,Fernando Alonso,4
Toro Rosso,4,3,Sébastien Bourdais,13,Sebastian Vettel,9
Red Bull,5,2,Mark Webber,14,David Coulthard,10
Williams,6,1,Nico Rosberg,15,Kazuki Nakajima,12
Honda,7,0,Jenson Button,16,Rubens Barrichello,11
McLaren,8,0,,,Lewis Hamilton,1
Toyota,9,0,,,Timo Glock,7
Force India,10,0,,,Giancarlo Fisichella,17
