Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Lewis Hamilton,5,Heikki Kovalainen,1
Renault,2,6,Nelson Piquet Jr.,6,Fernando Alonso,4
Toyota,3,4,Jarno Trulli,7,Timo Glock,2
BMW Sauber,4,3,Nick Heidfeld,10,Robert Kubica,8
Red Bull,5,2,David Coulthard,11,Mark Webber,9
Williams,6,1,Nico Rosberg,14,Kazuki Nakajima,13
Honda,7,0,Rubens Barrichello,16,Jenson Button,12
Ferrari,8,0,Felipe Massa,17,Kimi Räikkönen,3
Force India,9,0,,,Giancarlo Fisichella,15
Toro Rosso,10,0,,,Sébastien Bourdais,18
