Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Heikki Kovalainen,4,Lewis Hamilton,2
Toyota,2,6,Timo Glock,7,Jarno Trulli,5
BMW Sauber,3,4,Nick Heidfeld,9,Robert Kubica,3
Toro Rosso,4,3,Sébastien Bourdais,10,Sebastian Vettel,6
Williams,5,2,Kazuki Nakajima,15,Nico Rosberg,8
Honda,6,1,Rubens Barrichello,16,Jenson Button,13
Red Bull,7,0,David Coulthard,17,Mark Webber,12
Ferrari,8,0,,,Felipe Massa,1
Renault,9,0,,,Nelson Piquet Jr.,11
Force India,10,0,,,Giancarlo Fisichella,14
