Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Kazuki Nakajima,8,Nico Rosberg,2
McLaren,2,6,Heikki Kovalainen,10,Lewis Hamilton,3
BMW Sauber,3,4,Robert Kubica,11,Nick Heidfeld,6
Toro Rosso,4,3,Sébastien Bourdais,12,Sebastian Vettel,5
Ferrari,5,2,Kimi Räikkönen,15,Felipe Massa,13
Renault,6,1,,,Fernando Alonso,1
Toyota,7,0,,,Timo Glock,4
Red Bull,8,0,,,David Coulthard,7
Honda,9,0,,,Jenson Button,9
Force India,10,0,,,Giancarlo Fisichella,14
