Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Lewis Hamilton,5,Heikki Kovalainen,3
BMW Sauber,2,6,Nick Heidfeld,6,Robert Kubica,2
Red Bull,3,4,David Coulthard,9,Mark Webber,7
Renault,4,3,Nelson Piquet Jr.,11,Fernando Alonso,8
Honda,5,2,Rubens Barrichello,13,Jenson Button,10
Super Aguri,6,1,Takuma Sato,16,Anthony Davidson,15
Williams,7,0,Kazuki Nakajima,17,Nico Rosberg,14
Ferrari,8,0,,,Kimi Räikkönen,1
Toyota,9,0,,,Jarno Trulli,4
Force India,10,0,,,Giancarlo Fisichella,12
